AppDynamics PHP Agent 4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe PHP-5.6.37-1+ubuntu14.04.1+deb.sury.org+1 681
2019-12-24 12:02:57.227 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -2199977668565093351
2019-12-24 12:02:57.409 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 5791393513559430704
2019-12-24 12:02:57.593 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 8704689056324259200
2019-12-24 12:02:57.768 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 4094979330743308600
2019-12-24 12:02:57.959 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: 1599897692245357696
2019-12-24 12:02:58.148 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 0, error: 0, snapshot: 0, requestID: 3902573537092043327
2019-12-24 12:02:58.344 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -760820968184236294
2019-12-24 12:02:58.534 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -1825365163357404629
2019-12-24 12:02:58.711 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -7129960113182923104
2019-12-24 12:02:58.882 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -5245568750547684368
